word_id,word,selection_group,orthographic_neighbor_id,orthographic_neighbor,orthographic_similarity,pretrained__direct_visuality_standard,pretrained__cross_background_prototype_top1,pretrained__context_interaction_rms,pretrained__portable_word_delta_norm,pretrained__interaction_to_word_ratio,pretrained__readable__plain_raw__mrr,pretrained__readable__text_that_says__mrr,pretrained__text_that_says__glyph_margin_pseudo,pretrained__text_that_says__glyph_margin_mirrored,pretrained__visual_to_text_delta_cos__pretrained,pretrained__visual_to_text_delta_cos__gmp,pretrained__visual_to_text_delta_cos__reword,pretrained__visual_to_text_delta_cos__sae,pretrained__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,gmp__direct_visuality_standard,gmp__cross_background_prototype_top1,gmp__context_interaction_rms,gmp__portable_word_delta_norm,gmp__interaction_to_word_ratio,gmp__readable__plain_raw__mrr,gmp__readable__text_that_says__mrr,gmp__text_that_says__glyph_margin_pseudo,gmp__text_that_says__glyph_margin_mirrored,gmp__visual_to_text_delta_cos__pretrained,gmp__visual_to_text_delta_cos__gmp,gmp__visual_to_text_delta_cos__reword,gmp__visual_to_text_delta_cos__sae,gmp__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,reword__direct_visuality_standard,reword__cross_background_prototype_top1,reword__context_interaction_rms,reword__portable_word_delta_norm,reword__interaction_to_word_ratio,reword__readable__plain_raw__mrr,reword__readable__text_that_says__mrr,reword__text_that_says__glyph_margin_pseudo,reword__text_that_says__glyph_margin_mirrored,reword__visual_to_text_delta_cos__pretrained,reword__visual_to_text_delta_cos__gmp,reword__visual_to_text_delta_cos__reword,reword__visual_to_text_delta_cos__sae,reword__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,sae__direct_visuality_standard,sae__cross_background_prototype_top1,sae__context_interaction_rms,sae__portable_word_delta_norm,sae__interaction_to_word_ratio,sae__readable__plain_raw__mrr,sae__readable__text_that_says__mrr,sae__text_that_says__glyph_margin_pseudo,sae__text_that_says__glyph_margin_mirrored,sae__visual_to_text_delta_cos__pretrained,sae__visual_to_text_delta_cos__gmp,sae__visual_to_text_delta_cos__reword,sae__visual_to_text_delta_cos__sae,sae__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,global_text_maturity,text_lineage_stability,pretrained__bpe_token_count,gmp__bpe_token_count,reword__bpe_token_count,sae__bpe_token_count,persistent_direct_visuality,shortcut_sensitive_signature,sae_survival_signature,overlay_priority_score,is_english,english_zipf,normalized_surface,language_class,is_mature,maturity_class,readability_score,readability_class,selected_for_overlay,overlay_stratum,selection_order,nearest_selected_cos
1320,chromoimpressionist,high_maturity,1733,imageimpressionist,0.7567568,-0.5999110479370346,1.0,0.011489937,0.70580924,0.016279098,0.8476112780416356,0.8970349968801982,0.0743755,0.078016765,0.06701281,0.08376319,0.10359089,-0.03754538,-0.048760895,-1.30671603977265,1.0,0.010157662,0.67191947,0.015117381,0.6683204031660177,0.7462111384820803,0.084300734,0.06916555,0.074909754,0.1259442,0.17731944,-0.0064349193,0.028576436,-0.7583007604400382,1.0,0.0115779685,0.6197471,0.018681763,0.6026959517240658,0.6846839428271995,0.07748617,0.047615178,0.071548365,0.11828762,0.1812167,0.031049509,0.04994253,2.222266646746363,1.0,0.0032438012,0.11392067,0.028474212,0.0621251527444282,0.0879317313880241,0.0076060034,0.006915598,0.11123096,0.0872064,0.107427046,0.05561486,0.07010949,1.217928975,0.90352446,2,2,2,2,-0.1106653003508399,-0.5484152793326118,2.980567407186401,-0.5872671411571595,False,0.0,chromoimpressionist,CLIPese,True,mature,0.194475,weak,False,,-1,
1321,masamutilmicroscopy,high_maturity,6,bharatmicroscopy,0.74285716,-0.0022546043026024,1.0,0.011838334,0.61294997,0.019313702,0.8471477896869835,0.9353054443857132,0.11358241,0.0951921,0.059750862,0.039558016,0.026225546,-0.043674916,-0.022660974,-1.1697574434745206,1.0,0.009891169,0.6245416,0.015837487,0.5306021003077438,0.6522947743987708,0.13416404,0.08641351,0.039659698,0.069889,0.096339606,-0.0543277,-0.02910817,-0.9675961829744582,1.0,0.011726077,0.6007529,0.019518968,0.0424784965379526,0.0885005919996616,0.10636681,0.060898863,-0.009921781,0.014108799,0.079146676,-0.06666282,-0.043280046,-1.8895932392903407,0.7777778,0.0045135505,0.17578822,0.02567607,0.0050993188576876,0.004504822569367,0.0013717707,0.01068238,0.007473342,0.027586965,0.053410973,-0.023927089,-0.025822394,1.2177369,0.9323476,4,4,4,4,-1.0073003675104806,-0.2021612605000624,-0.9219970563158826,-0.8206702702328362,False,0.0,masamutilmicroscopy,CLIPese,True,mature,0.14769999999999997,weak,False,,-1,
1322,wolvecorgi,high_maturity,253,ajcorgi,0.5882353,-0.8271949774500966,1.0,0.010825567,0.64496166,0.016784823,0.6922610689789825,0.7523550547975087,0.089429304,0.096796975,0.06734914,0.050800666,0.031732287,-0.07279323,-0.059578963,-0.4862396549625929,1.0,0.008853332,0.60429364,0.014650712,0.7017889009524749,0.792936385080348,0.1325881,0.13827828,0.008134703,-0.017788518,0.014157707,-0.13926502,-0.11755066,-0.6319499182053362,1.0,0.010020097,0.53135294,0.018857704,0.0216280125863589,0.2187842584654285,0.107298315,0.10586228,-0.011994524,-0.032711517,0.00742078,-0.13152653,-0.101730324,-0.3830161727332155,1.0,0.0052805603,0.30636254,0.017236313,0.0007034562141138,0.0012884427298005,0.01737127,0.0189546,0.06629208,0.0676898,0.1293166,0.07279047,0.092200726,1.217473925,0.93553233,2,2,2,2,-0.5821001808378102,0.1457102632427432,0.2489337454721207,-0.4930668472214606,False,0.0,wolvecorgi,CLIPese,True,mature,0.2545,weak,False,,-1,
1323,louboutladybug,high_maturity,968,louboutlatex,0.6923077,-0.6312582093301526,1.0,0.011388071,0.5953556,0.019128185,0.7652316956239215,0.8341407023374957,0.09467666,0.08089696,0.08000474,0.005189524,-0.06184025,-0.00042626355,-0.025879834,-0.8403366262651273,1.0,0.009293126,0.6049306,0.015362302,0.6250341545144559,0.7329380187352323,0.12963392,0.10924816,0.024104116,-0.009651115,-0.032054693,-0.023024669,-0.025156613,-0.7841962467886185,1.0,0.011558209,0.61323285,0.018847993,0.0592061677161282,0.1308280203788301,0.11333064,0.08288109,-0.04988298,-0.093862146,-0.04407683,-0.06687238,-0.070705906,0.2292678431479828,1.0,0.0056750327,0.2680423,0.021172155,0.0035846360510876,0.0192504445505995,0.017896589,0.018342046,0.04540585,0.035486758,0.045973998,0.06945002,0.06786608,1.217408925,0.9337411,2,2,2,2,-0.5066308098089789,-0.0561403794765087,1.0134640899366014,-0.4654126635510895,False,0.0,louboutladybug,CLIPese,True,mature,0.18074999999999997,weak,False,,-1,
1324,ondleopsafarilive,high_maturity,1708,democrsafarilive,0.7878788,-1.1198824727685743,1.0,0.011421356,0.7127061,0.016025338,0.7030518704851068,0.7279910698655193,0.09283847,0.06886631,0.092726186,0.051406566,0.05113257,-0.070821695,-0.06816916,-0.9964789959796948,1.0,0.009824605,0.6835331,0.014373269,0.6596371423132139,0.7182367809093774,0.12699315,0.09246821,0.07554817,0.09634189,0.13070874,-0.023947023,0.034408573,-1.068193845224788,1.0,0.010304734,0.56779844,0.018148579,0.0189040219533305,0.0649201854314062,0.08825134,0.0634802,0.041465297,0.047542963,0.10161315,-0.016506784,0.00046427269,-0.3874572817723737,1.0,0.003325905,0.16141707,0.020604419,0.0011313536188039,0.0012859013641176,0.023445996,0.014180612,0.03722082,0.062378027,0.03344271,0.022996712,0.023087522,1.2172482,0.91192764,4,4,4,4,-0.8930031489363577,0.0717148492450933,0.6807365634524144,-1.0085188406480483,False,0.0,ondleopsafarilive,CLIPese,True,mature,0.22999999999999998,weak,False,,-1,
1325,chedattacked,high_maturity,365,coralstacked,0.6666667,1.0708105832247636,1.0,0.010763456,0.7423094,0.01449996,0.9111842105263158,0.9736842105263158,0.17143546,0.15081307,0.17163561,0.12977563,0.10690935,-0.082556695,-0.10694954,0.906794492162306,1.0,0.008307385,0.7383831,0.011250779,0.95125313283208,0.9583333333333336,0.2329467,0.19972585,0.13118482,0.11979421,0.15516314,-0.05687326,-0.06868836,0.9555160829885974,1.0,0.010313185,0.6915595,0.01491294,0.7822172415115257,0.8934628237259815,0.23392421,0.18568759,0.019490195,0.03253211,0.10827109,-0.076928124,-0.07583604,-0.565557871475313,0.8888889,0.005321979,0.32848835,0.016201423,0.0016805209941111,0.003161912694651,0.040492516,0.021030068,0.02338623,0.020412587,0.0376739,-0.010640865,-0.025528822,1.2171865875,0.91814256,2,2,2,2,0.5918908217250886,-0.0487215908262913,-1.5210739544639105,0.0741869160112859,False,0.0,chedattacked,CLIPese,True,mature,0.8774250000000001,strong,True,mature_readable,201,0.5414659380912781
1326,jurassicsculpt,high_maturity,1162,jurassicmonitor,0.62068963,0.6430013657799316,1.0,0.010711683,0.65827566,0.016272336,0.9227464788893704,0.9344387596209458,0.1608236,0.1265851,0.11860128,0.10531749,-0.0030183862,-0.07872222,-0.049871337,0.6145602823532601,1.0,0.009175522,0.6417759,0.014297081,0.9474091389472172,0.9474855052987252,0.20796861,0.17991251,0.078686684,0.12349491,-0.010687971,-0.14690706,-0.092421144,0.8069279036464136,1.0,0.01072971,0.62099516,0.01727825,0.6369105501760374,0.9343319861125966,0.2059223,0.1802762,-0.02514245,-0.00527603,-0.048298445,-0.17244256,-0.1362927,2.131977606308073,1.0,0.004554979,0.23872714,0.019080274,0.0428420104749363,0.0677865716189716,0.043336097,0.011750858,0.08638097,0.12274271,0.07854177,0.080596134,0.11858067,1.216974525,0.93845075,2,2,2,2,1.0491167895219196,-0.1923676212931535,1.3250497026616594,0.6447913929060263,False,0.0,jurassicsculpt,CLIPese,True,mature,0.7088749999999999,strong,False,,-1,
1327,femen,high_maturity,1848,weren,0.6,0.2479400911361642,1.0,0.01084183,0.74228966,0.014605928,0.8211068704078572,0.960902255639098,0.14943546,0.07958751,0.08672676,0.07913649,-0.015224407,-0.006155555,0.030411202,0.3322342174505934,1.0,0.008123582,0.7588103,0.010705682,0.7114288752294589,0.9474102585557694,0.22487438,0.11713595,0.049869165,0.093137786,0.049639966,-0.014854231,0.027319107,0.5141793543348906,1.0,0.010491157,0.7375297,0.014224725,0.0652623181998557,0.7840960056917613,0.2286983,0.12206198,0.024330366,0.061033748,0.06496267,-0.0013558529,0.012322405,-0.0665876290248486,1.0,0.0042819977,0.3074395,0.013927936,0.0007799796435475,0.0017308724037987,0.03506948,0.021533493,0.09712998,0.13943157,0.10133614,0.11435619,0.11069312,1.21686189,0.9518738,2,2,2,2,0.2569415084741999,-0.1819451368842972,-0.5807669833597392,0.2831166464908253,True,1.78,femen,English,True,mature,0.600275,middle,False,,-1,
1328,chromocapsules,high_maturity,221,chromomeasles,0.8148148,-0.1222460455110027,1.0,0.011008809,0.75058526,0.014666967,0.9370689655172412,0.936842105263158,0.11198273,0.08183185,0.061116163,0.071657926,0.025710542,-0.12454218,-0.13400275,-0.3383194798819164,1.0,0.0092838565,0.7182966,0.012924823,0.804671868747499,0.8131148950808393,0.1575263,0.1300664,0.040825203,0.06835461,0.05336122,-0.08817124,-0.09740548,0.1925394169576619,1.0,0.011050802,0.67125696,0.01646285,0.6582748461769704,0.8000711633755229,0.15736432,0.1313373,0.009157719,-0.004253177,0.02582391,-0.12196499,-0.12452514,0.3574434279590398,1.0,0.003318396,0.1651308,0.02009556,0.0150253105739078,0.0138474416363467,0.031967163,0.024284655,0.11633983,0.05060158,0.10205859,0.037092693,0.020032762,1.216692775,0.92550343,2,2,2,2,0.0223543298809456,-0.5308588968395783,0.1649040110013778,-0.2164106304626128,False,0.0,chromocapsules,CLIPese,True,mature,0.44129999999999997,middle,False,,-1,
1329,ularhino,high_maturity,1779,bulgarian,0.7058824,1.3227853439489612,1.0,0.0095045,0.76229507,0.012468269,0.9254961238322672,0.9474549412969632,0.21244101,0.15205923,0.15541327,0.056934286,0.056034565,0.0030689193,0.018788397,1.2142295365055242,1.0,0.008687512,0.7745427,0.011216312,0.9474586195945096,0.9476617519426012,0.28037405,0.21033846,0.11693244,0.07209919,0.07122995,0.011448963,0.022288369,0.7480022265927488,1.0,0.009246518,0.62421376,0.014813064,0.4234579901964181,0.8265706739159754,0.22743195,0.16203333,0.026939753,-0.0072479686,0.050228324,0.02699804,-0.021829078,0.0465536391331528,1.0,0.0034478733,0.14920707,0.023107976,0.0031142263660104,0.0040235787638247,0.028642975,0.028151585,0.13953932,0.10401594,0.13817273,0.116621815,0.08314738,1.216335335,0.9415167,3,3,3,3,0.8328926865450967,0.4662273099127754,-0.701448587459596,0.5368951879674796,False,0.0,ularhino,CLIPese,True,mature,0.90235,strong,True,mature_readable,68,0.2914106845855713
